epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
0,,,919,,0.03652430325746536,,21.439950942993164,,26.078168869018555,,,
,0.0001,0.0001,924,,,,,,,,,
0,,,924,,0.07248038053512573,,27.794103622436523,,36.73637771606445,,,
,0.0001,0.0001,929,,,,,,,,,
0,,,929,,0.030907846987247467,,20.94994354248047,,23.989463806152344,,,
,0.0001,0.0001,934,,,,,,,,,
0,,,934,,0.06383015215396881,,28.65266227722168,,34.474586486816406,,,
,0.0001,0.0001,939,,,,,,,,,
0,,,939,,0.034735992550849915,,20.903488159179688,,25.43173599243164,,,
,0.0001,0.0001,944,,,,,,,,,
0,,,944,,0.04853110760450363,,25.325389862060547,,30.06049919128418,,,
,0.0001,0.0001,949,,,,,,,,,
0,,,949,,0.13602732121944427,,34.09249496459961,,54.89016342163086,,,
,0.0001,0.0001,954,,,,,,,,,
0,,,954,,0.04315779358148575,,23.964609146118164,,28.34756088256836,,,
,0.0001,0.0001,959,,,,,,,,,
0,,,959,,0.035328466445207596,,19.088634490966797,,25.647705078125,,,
,0.0001,0.0001,964,,,,,,,,,
0,,,964,,0.043937474489212036,,23.720108032226562,,28.602476119995117,,,
,0.0001,0.0001,969,,,,,,,,,
0,,,969,,0.08780886232852936,,30.529783248901367,,40.45561599731445,,,
,0.0001,0.0001,974,,,,,,,,,
0,,,974,,0.0818246603012085,,30.652721405029297,,39.03266525268555,,,
,0.0001,0.0001,979,,,,,,,,,
0,,,979,,0.027134420350193977,,18.51138687133789,,22.477420806884766,,,
,0.0001,0.0001,984,,,,,,,,,
0,,,984,,0.061540160328149796,,25.785757064819336,,33.85052490234375,,,
,0.0001,0.0001,989,,,,,,,,,
0,,,989,,0.032664719969034195,,21.001209259033203,,24.66184425354004,,,
,0.0001,0.0001,994,,,,,,,,,
0,,,994,,0.10145574808120728,,39.06843566894531,,43.46347427368164,,,
,0.0001,0.0001,999,,,,,,,,,
0,,,999,,0.02333875745534897,,17.513877868652344,,20.846111297607422,,,
,0.0001,0.0001,1004,,,,,,,,,
0,,,1004,,0.0401153601706028,,20.454574584960938,,27.330114364624023,,,
,0.0001,0.0001,1009,,,,,,,,,
0,,,1009,,0.041740018874406815,,23.6346435546875,,27.878047943115234,,,
,0.0001,0.0001,1014,,,,,,,,,
0,,,1014,,0.05128704383969307,,26.07038688659668,,30.90223503112793,,,
,0.0001,0.0001,1019,,,,,,,,,
0,,,1019,,0.024100910872220993,,14.929994583129883,,21.183748245239258,,,
,0.0001,0.0001,1024,,,,,,,,,
0,,,1024,,0.044074442237615585,,25.791011810302734,,28.647024154663086,,,
,0.0001,0.0001,1029,,,,,,,,,
0,,,1029,,0.019650738686323166,,14.90231990814209,,19.128263473510742,,,
,0.0001,0.0001,1034,,,,,,,,,
0,,,1034,,0.09083744883537292,,31.125198364257812,,41.126197814941406,,,
,0.0001,0.0001,1039,,,,,,,,,
0,,,1039,,0.040827732533216476,,23.40366554260254,,27.571712493896484,,,
,0.0001,0.0001,1044,,,,,,,,,
0,,,1044,,0.04263456165790558,,24.56207847595215,,28.17519760131836,,,
,0.0001,0.0001,1049,,,,,,,,,
0,,,1049,,0.03870014473795891,,25.285144805908203,,26.843700408935547,,,
,0.0001,0.0001,1054,,,,,,,,,
0,,,1054,,0.04609096795320511,,23.500293731689453,,29.295032501220703,,,
,0.0001,0.0001,1059,,,,,,,,,
0,,,1059,,0.050716035068035126,,24.772491455078125,,30.729732513427734,,,
,0.0001,0.0001,1064,,,,,,,,,
0,,,1064,,0.10884011536836624,,29.599639892578125,,47.746734619140625,,,
,0.0001,0.0001,1069,,,,,,,,,
0,,,1069,,0.03512480854988098,,17.71414566040039,,25.573671340942383,,,
,0.0001,0.0001,1074,,,,,,,,,
0,,,1074,,0.04538176208734512,,20.854290008544922,,29.068775177001953,,,
,0.0001,0.0001,1079,,,,,,,,,
0,,,1079,,0.08676455914974213,,27.356983184814453,,40.199073791503906,,,
,0.0001,0.0001,1084,,,,,,,,,
0,,,1084,,0.058910779654979706,,25.191635131835938,,33.119476318359375,,,
,0.0001,0.0001,1089,,,,,,,,,
0,,,1089,,0.0444190688431263,,22.10861587524414,,28.758804321289062,,,
,0.0001,0.0001,1094,,,,,,,,,
0,,,1094,,0.03923259675502777,,22.872783660888672,,27.027729034423828,,,
,0.0001,0.0001,1099,,,,,,,,,
0,,,1099,,0.027053415775299072,,17.35009765625,,22.443836212158203,,,
,0.0001,0.0001,1104,,,,,,,,,
0,,,1104,,0.0771440789103508,,28.00261688232422,,37.89984130859375,,,
,0.0001,0.0001,1109,,,,,,,,,
0,,,1109,,0.14898869395256042,,31.959060668945312,,62.77936553955078,,,
